Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/numerical?name=0_3.14159,432,0,59000.0,63439.72389893984,7987.405215000763,151991.65447000088,136.0,1.2006707974778492,0.0,59000,71000,80000,86000,102000,112000,129000,144000,152000,152000,152000
,Aggregated,432,0,59000.0,63439.72389893984,7987.405215000763,151991.65447000088,136.0,1.2006707974778492,0.0,59000,71000,80000,86000,102000,112000,129000,144000,152000,152000,152000
