Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,117,77,241000.0,200217.21987291463,7469.106954000381,241099.55464300036,54.52991452991453,0.33070839655626516,0.21764569687890956,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000
,Aggregated,117,77,241000.0,200217.21987291463,7469.106954000381,241099.55464300036,54.52991452991453,0.33070839655626516,0.21764569687890956,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000,241000
