Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,6,0,280000.0,244650.9107398336,24768.028534000223,329768.29110700055,143.0,0.01792248098302221,0.0,294000,294000,325000,325000,330000,330000,330000,330000,330000,330000,330000
,Aggregated,6,0,280000.0,244650.9107398336,24768.028534000223,329768.29110700055,143.0,0.01792248098302221,0.0,294000,294000,325000,325000,330000,330000,330000,330000,330000,330000,330000
